traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
2162,1,5.807805248837525,0,0,76.43533864364274,Clear,Clear sky,2025-01-04 08:00:00
3984,0,15.361740434419623,0,1,62.374308486400906,Snow,Overcast clouds,2025-01-04 09:00:00
164,0,-7.921357047480395,1,0,76.23026245009599,Clear,Light rain,2025-01-04 10:00:00
2668,0,-2.582839951895557,1,1,3.893801668766561,Clouds,Snow,2025-01-04 11:00:00
2127,0,39.33150614794234,0,1,83.71196278306522,Snow,Light rain,2025-01-04 12:00:00
2795,1,38.25593482180228,0,1,61.95262000363033,Clouds,Light rain,2025-01-04 13:00:00
1595,1,-9.75300095327952,0,0,56.33953507126401,Clear,Light rain,2025-01-04 14:00:00
491,0,37.590589271161946,0,0,62.46140481145316,Snow,Snow,2025-01-04 15:00:00
4614,0,21.95599689077502,1,1,86.4433246868364,Clouds,Overcast clouds,2025-01-04 16:00:00
4574,0,33.39591472600111,0,1,58.69365065589071,Clear,Light rain,2025-01-04 17:00:00
3661,0,12.736992781692955,1,0,58.095037988817936,Clouds,Snow,2025-01-04 18:00:00
2378,0,15.77980142896251,1,0,99.06791570657658,Rain,Clear sky,2025-01-04 19:00:00
3199,0,14.44232901284601,1,0,75.6730167068568,Clear,Snow,2025-01-04 20:00:00
300,1,23.34321287730522,0,0,44.22938054511353,Clear,Clear sky,2025-01-04 21:00:00
4975,0,-3.0174372621843553,0,0,70.73970000329277,Clear,Snow,2025-01-04 22:00:00
3204,1,-8.501320506366103,1,0,38.92304716917885,Snow,Overcast clouds,2025-01-04 23:00:00
4698,1,5.396497079559545,1,1,22.8875462483499,Snow,Light rain,2025-01-05 00:00:00
2554,0,25.234038136832332,1,0,59.68518768877594,Snow,Overcast clouds,2025-01-05 01:00:00
3745,1,0.09267260614741879,0,1,92.81820981139515,Rain,Snow,2025-01-05 02:00:00
904,1,23.67162166624587,1,0,92.91395200154628,Rain,Light rain,2025-01-05 03:00:00
2831,1,38.49560230536352,0,0,34.19052781054903,Clear,Clear sky,2025-01-05 04:00:00
2873,1,-5.30496421052908,1,1,52.7677466221695,Rain,Snow,2025-01-05 05:00:00
1670,1,23.630105911256315,1,1,21.16358985698612,Clouds,Light rain,2025-01-05 06:00:00
2790,1,12.187510965228558,1,0,99.56311094988834,Clear,Clear sky,2025-01-05 07:00:00
3940,0,33.40711271887527,0,1,98.11179078679358,Clear,Clear sky,2025-01-05 08:00:00
1128,1,-1.142510527630705,0,1,64.95089297074473,Clouds,Overcast clouds,2025-01-05 09:00:00
602,1,24.631297611308227,1,1,80.44140596774734,Clear,Snow,2025-01-05 10:00:00
4593,1,31.90576448240551,0,1,71.51001612837,Rain,Clear sky,2025-01-05 11:00:00
970,0,37.230710973701164,1,0,59.31582190394682,Snow,Light rain,2025-01-05 12:00:00
4588,1,24.16240141448229,0,1,5.3347996988897695,Clouds,Clear sky,2025-01-05 13:00:00
306,0,14.858738200421364,0,0,45.476434255266106,Rain,Clear sky,2025-01-05 14:00:00
1584,1,20.892362010060694,0,0,67.47863021674105,Clouds,Overcast clouds,2025-01-05 15:00:00
963,0,33.44524922393591,1,0,67.75316138836847,Clouds,Overcast clouds,2025-01-05 16:00:00
2890,0,18.530487331941483,0,0,37.31226184223836,Clear,Light rain,2025-01-05 17:00:00
663,1,-8.480647015158157,0,1,94.16919866580305,Clear,Overcast clouds,2025-01-05 18:00:00
4291,1,36.54743477534889,1,1,16.7357032236781,Rain,Clear sky,2025-01-05 19:00:00
1857,0,24.476337551578055,1,0,50.03594462155606,Clouds,Clear sky,2025-01-05 20:00:00
1778,1,23.82566928886233,1,0,69.08839765508228,Clear,Overcast clouds,2025-01-05 21:00:00
3342,0,0.7837576198858578,1,0,69.71358058918092,Clear,Clear sky,2025-01-05 22:00:00
4736,0,22.944273511632858,0,0,64.86389567688155,Clouds,Clear sky,2025-01-05 23:00:00
1159,0,9.693220282707923,0,1,27.528821345186017,Rain,Light rain,2025-01-06 00:00:00
1822,0,22.561648852074605,0,0,15.620656868662197,Rain,Overcast clouds,2025-01-06 01:00:00
3414,0,-4.6703484846004635,0,1,63.594032682671084,Clouds,Clear sky,2025-01-06 02:00:00
3257,1,22.8922652301518,0,0,59.930211613943776,Rain,Overcast clouds,2025-01-06 03:00:00
2725,0,39.97068628853333,1,0,17.935601028924097,Clear,Light rain,2025-01-06 04:00:00
2829,0,-7.589398056972199,0,0,70.51391455705634,Clouds,Overcast clouds,2025-01-06 05:00:00
1697,1,38.858709211065865,0,0,45.51719917336564,Clear,Clear sky,2025-01-06 06:00:00
3160,0,10.345398036143532,0,1,66.7760591603153,Snow,Overcast clouds,2025-01-06 07:00:00
2793,1,33.537672516862955,1,1,83.73670797701507,Snow,Clear sky,2025-01-06 08:00:00
4991,1,29.119274202913672,1,1,16.972842857692317,Rain,Clear sky,2025-01-06 09:00:00
3727,1,18.35081304933339,0,0,1.9144867996836679,Snow,Clear sky,2025-01-06 10:00:00
1463,0,26.922460462566328,1,0,77.91025863957867,Clear,Light rain,2025-01-06 11:00:00
2081,0,33.9257780650674,1,1,60.96974251526159,Snow,Overcast clouds,2025-01-06 12:00:00
1763,0,10.20701608255165,1,1,69.96395696221217,Clear,Light rain,2025-01-06 13:00:00
1629,1,6.351658078161936,1,0,83.81549749886426,Rain,Overcast clouds,2025-01-06 14:00:00
2138,0,23.379669278179236,1,0,80.28109348245005,Rain,Light rain,2025-01-06 15:00:00
3402,1,30.39229709706293,1,1,96.09201469288247,Clear,Snow,2025-01-06 16:00:00
2337,0,28.11425673883079,1,0,53.59350788521182,Snow,Clear sky,2025-01-06 17:00:00
1406,1,29.890682442931727,0,0,48.84956326599054,Rain,Clear sky,2025-01-06 18:00:00
4129,0,11.77916574064665,0,1,40.18871998907301,Clouds,Light rain,2025-01-06 19:00:00
2775,0,30.89171080875108,1,0,15.369104284420454,Rain,Snow,2025-01-06 20:00:00
1382,0,-3.9895472314695777,0,1,57.26072328820224,Snow,Clear sky,2025-01-06 21:00:00
809,1,17.224454898042477,0,0,27.70125243259788,Clouds,Overcast clouds,2025-01-06 22:00:00
4844,1,-9.712066975093922,1,1,92.13075122129754,Snow,Light rain,2025-01-06 23:00:00
4513,0,6.229291495013516,0,0,58.31908042770976,Clear,Clear sky,2025-01-07 00:00:00
3848,0,8.323076743569892,1,1,59.284018050811014,Clouds,Clear sky,2025-01-07 01:00:00
4879,1,9.808634580462769,1,1,35.492466087701004,Snow,Light rain,2025-01-07 02:00:00
763,1,24.773360334493105,1,1,5.198935197770749,Clouds,Light rain,2025-01-07 03:00:00
2098,1,9.427905063517287,0,1,3.174376537298862,Snow,Overcast clouds,2025-01-07 04:00:00
3545,0,12.434681131126531,0,0,42.33351441531975,Clouds,Overcast clouds,2025-01-07 05:00:00
3843,1,1.8772065437163725,0,0,8.456537809723786,Snow,Clear sky,2025-01-07 06:00:00
1595,0,8.662589581467003,0,1,60.68469555401391,Clear,Clear sky,2025-01-07 07:00:00
3404,1,1.3634813631575735,1,0,88.09730056396575,Clouds,Light rain,2025-01-07 08:00:00
3863,0,-6.340203811577818,1,0,88.29148165187222,Clouds,Clear sky,2025-01-07 09:00:00
1953,1,20.172429669068894,0,0,65.90454101322324,Clouds,Clear sky,2025-01-07 10:00:00
4759,1,23.410639927750815,1,0,21.1231831472931,Clouds,Light rain,2025-01-07 11:00:00
1391,1,20.974517300480723,1,0,86.29968313588721,Clear,Clear sky,2025-01-07 12:00:00
3681,1,13.174702190028619,0,1,88.60934353132082,Clouds,Clear sky,2025-01-07 13:00:00
3557,1,8.989289008961492,1,1,19.66535849529587,Rain,Snow,2025-01-07 14:00:00
1736,0,33.16668247859126,0,1,73.74260857706773,Clear,Overcast clouds,2025-01-07 15:00:00
3796,1,15.954089256810903,1,1,28.651954892712293,Rain,Light rain,2025-01-07 16:00:00
3099,1,13.959093881486549,0,0,80.26403123529296,Clouds,Snow,2025-01-07 17:00:00
3252,1,-8.717896709678216,1,0,99.72378999036027,Snow,Overcast clouds,2025-01-07 18:00:00
798,0,7.062391381307819,1,1,3.0026005329392813,Rain,Overcast clouds,2025-01-07 19:00:00
2260,1,9.009780939292853,0,0,89.73658657909318,Clouds,Overcast clouds,2025-01-07 20:00:00
4197,0,9.941139044845023,0,0,62.26305335986581,Rain,Snow,2025-01-07 21:00:00
4837,1,19.008618461366613,0,1,97.33826191648211,Clouds,Snow,2025-01-07 22:00:00
954,1,16.680127336343922,0,0,46.50095175264276,Clouds,Overcast clouds,2025-01-07 23:00:00
3574,0,20.39525463967223,1,1,84.73879305713737,Clouds,Clear sky,2025-01-08 00:00:00
1807,1,28.244163077106414,1,1,6.239406859827723,Snow,Clear sky,2025-01-08 01:00:00
2877,0,30.649286935804675,0,0,33.527905007829574,Rain,Snow,2025-01-08 02:00:00
1833,0,25.90615381132472,1,0,6.701653775120997,Clear,Snow,2025-01-08 03:00:00
3610,1,37.77618479774674,0,1,97.53431334790706,Clear,Snow,2025-01-08 04:00:00
302,0,-9.088370866181918,0,1,81.69739072718367,Clear,Overcast clouds,2025-01-08 05:00:00
3355,1,-0.2111007158226954,1,0,85.25474212459704,Clear,Clear sky,2025-01-08 06:00:00
4318,1,-9.621856251092893,1,1,93.79652314338942,Clouds,Snow,2025-01-08 07:00:00
4596,0,22.373735707730148,0,1,8.510348611978536,Rain,Snow,2025-01-08 08:00:00
866,0,34.90152744749935,0,1,38.55975925133334,Rain,Light rain,2025-01-08 09:00:00
4489,0,2.1741148288149645,0,0,7.103488904400212,Snow,Overcast clouds,2025-01-08 10:00:00
2427,0,36.35172723981533,1,1,21.07931015500286,Rain,Light rain,2025-01-08 11:00:00
3031,1,-6.986630485521958,1,0,22.936577703767234,Rain,Clear sky,2025-01-08 12:00:00
297,1,36.72180134027572,1,1,46.91072110475787,Rain,Light rain,2025-01-08 13:00:00
2030,0,7.5811343619817215,1,0,26.856216745364257,Snow,Light rain,2025-01-08 14:00:00
3682,1,-4.928958577539174,0,1,10.09781068177611,Clear,Light rain,2025-01-08 15:00:00
708,1,14.29358795931628,0,0,16.749108909410772,Rain,Overcast clouds,2025-01-08 16:00:00
3372,1,2.8388283860253978,0,0,14.727556355209092,Snow,Clear sky,2025-01-08 17:00:00
1247,1,4.243645098096142,0,0,97.30767979122983,Snow,Light rain,2025-01-08 18:00:00
4382,0,5.364498246314328,0,1,75.92925069184736,Clouds,Overcast clouds,2025-01-08 19:00:00
3497,0,30.15129489163317,0,1,96.7761465269562,Snow,Clear sky,2025-01-08 20:00:00
2611,1,16.958063833762726,1,1,43.974048650790856,Clear,Snow,2025-01-08 21:00:00
1894,0,5.565384957800182,1,0,27.83684816626566,Rain,Light rain,2025-01-08 22:00:00
759,0,20.51668916554592,0,1,79.82931972091866,Snow,Clear sky,2025-01-08 23:00:00
2911,0,25.807533711159678,0,0,32.62539180411468,Clear,Light rain,2025-01-09 00:00:00
1469,1,3.631200036676688,1,1,29.93833737053483,Snow,Snow,2025-01-09 01:00:00
2086,1,10.677455076267577,1,0,23.25059922078312,Snow,Clear sky,2025-01-09 02:00:00
246,1,-3.9056953331526225,1,0,12.967897822423534,Snow,Overcast clouds,2025-01-09 03:00:00
3319,0,-0.9425325232659851,1,0,25.646306101676597,Snow,Clear sky,2025-01-09 04:00:00
3011,1,24.05589269824914,0,1,35.53197484738877,Snow,Overcast clouds,2025-01-09 05:00:00
1834,1,-0.9280826152186528,0,1,67.39942081457303,Clear,Clear sky,2025-01-09 06:00:00
1943,0,16.258169183353008,0,1,6.256484221945158,Rain,Overcast clouds,2025-01-09 07:00:00
588,1,25.452313086121634,0,0,21.050693966534297,Rain,Snow,2025-01-09 08:00:00
3076,1,-4.656153845262808,0,0,80.90236402916764,Rain,Snow,2025-01-09 09:00:00
2059,0,18.365610981445176,1,1,14.692192358377076,Rain,Snow,2025-01-09 10:00:00
2485,0,2.8281391850681885,0,1,34.26451465225215,Clear,Clear sky,2025-01-09 11:00:00
3019,0,38.14634376187899,1,1,86.46589218581401,Clouds,Snow,2025-01-09 12:00:00
4836,1,14.177282335996235,0,0,15.492531114344265,Clouds,Light rain,2025-01-09 13:00:00
1902,1,30.299627488757906,0,0,8.27368356181899,Clear,Snow,2025-01-09 14:00:00
4161,1,17.511327107813088,0,0,48.45379950800108,Clear,Overcast clouds,2025-01-09 15:00:00
3469,0,-7.829373357259042,0,0,30.24195112785364,Snow,Overcast clouds,2025-01-09 16:00:00
362,0,21.657568779701116,0,0,56.34083644838541,Snow,Overcast clouds,2025-01-09 17:00:00
723,1,37.570167110332854,1,1,80.38048904834751,Snow,Clear sky,2025-01-09 18:00:00
1116,1,20.08059100731656,1,0,13.714848815274316,Rain,Light rain,2025-01-09 19:00:00
3743,0,30.959442971339513,1,0,58.0699084554285,Snow,Snow,2025-01-09 20:00:00
2149,0,34.21032316742039,0,0,50.550876038986395,Clouds,Light rain,2025-01-09 21:00:00
3823,0,1.4039885974466237,0,0,14.407878601319958,Rain,Light rain,2025-01-09 22:00:00
4648,0,0.6022419954113332,1,0,62.39984855289824,Snow,Overcast clouds,2025-01-09 23:00:00
3208,1,20.549049442549585,0,1,27.364041786077166,Rain,Overcast clouds,2025-01-10 00:00:00
4190,0,10.551423490335235,0,0,48.78343185440125,Clouds,Overcast clouds,2025-01-10 01:00:00
2156,1,31.99306514333602,1,0,8.227232427706188,Snow,Clear sky,2025-01-10 02:00:00
3270,1,35.00115616990056,0,0,45.958405721362304,Clouds,Light rain,2025-01-10 03:00:00
1782,1,7.671068965135905,1,1,30.646346804282032,Clouds,Light rain,2025-01-10 04:00:00
2355,0,1.8435279487241036,0,1,82.23812111853543,Clouds,Clear sky,2025-01-10 05:00:00
1254,0,29.026275762193094,1,1,5.697872699736828,Snow,Clear sky,2025-01-10 06:00:00
4599,0,3.7403017774068044,0,0,41.860727491832996,Clear,Clear sky,2025-01-10 07:00:00
3291,0,31.130715925683923,0,1,45.8431424131438,Snow,Light rain,2025-01-10 08:00:00
1796,1,11.186912682438141,1,0,72.50060762991187,Clouds,Light rain,2025-01-10 09:00:00
4091,0,23.377494964573522,0,0,57.428757509021096,Snow,Overcast clouds,2025-01-10 10:00:00
4823,0,-5.223234308266591,0,1,66.72123371941811,Clouds,Overcast clouds,2025-01-10 11:00:00
4782,1,21.19296623382865,1,0,77.7049285651756,Clear,Light rain,2025-01-10 12:00:00
1748,0,12.588383936861455,0,0,86.22029736581888,Rain,Overcast clouds,2025-01-10 13:00:00
1545,1,19.330423158773705,1,0,31.38754967224705,Clear,Clear sky,2025-01-10 14:00:00
4299,1,-1.599289612756829,0,1,53.802270536390296,Clear,Snow,2025-01-10 15:00:00
4023,1,26.843687247209104,0,0,84.01080784391999,Rain,Overcast clouds,2025-01-10 16:00:00
353,1,33.13985387716143,0,0,98.94511309650565,Snow,Light rain,2025-01-10 17:00:00
3283,1,0.8369900045387819,0,1,88.95193110437631,Rain,Overcast clouds,2025-01-10 18:00:00
2657,1,-5.214272223991914,1,0,37.14672626243768,Snow,Overcast clouds,2025-01-10 19:00:00
198,1,-8.81807069768318,0,0,19.516651721865042,Snow,Overcast clouds,2025-01-10 20:00:00
2300,1,22.098575022163303,1,1,48.93925374065887,Clouds,Snow,2025-01-10 21:00:00
3061,0,20.35470180443904,0,0,74.16414518360422,Clouds,Clear sky,2025-01-10 22:00:00
4533,0,17.334870635703503,0,0,49.25690707532976,Rain,Light rain,2025-01-10 23:00:00
3877,0,1.597354805798771,0,0,48.31808633136685,Clear,Snow,2025-01-11 00:00:00
2969,0,9.545299795275735,0,0,83.82304210818006,Rain,Light rain,2025-01-11 01:00:00
3334,1,19.72381675930865,1,0,36.14037790671863,Snow,Light rain,2025-01-11 02:00:00
3891,0,14.83834294295847,1,1,85.97946748116456,Clouds,Light rain,2025-01-11 03:00:00
1056,1,39.38927601074437,1,1,40.680480095172356,Rain,Snow,2025-01-11 04:00:00
4167,0,-3.1780123721633435,1,1,32.82331056783394,Rain,Clear sky,2025-01-11 05:00:00
260,0,24.757227702379687,0,1,45.3989911199699,Clouds,Light rain,2025-01-11 06:00:00
4593,0,10.215938405214608,1,0,76.24469586748684,Clouds,Clear sky,2025-01-11 07:00:00
1400,1,11.409980746280738,1,0,12.600202786399429,Clouds,Clear sky,2025-01-11 08:00:00
4087,0,25.87988828290881,0,0,19.64192158720174,Snow,Overcast clouds,2025-01-11 09:00:00
1627,1,24.62180756621848,0,0,95.1444825663092,Clouds,Snow,2025-01-11 10:00:00
1318,1,39.56279968510942,0,0,17.54916273813574,Clear,Snow,2025-01-11 11:00:00
4596,0,-3.5802855272937384,0,1,56.77273179310546,Rain,Overcast clouds,2025-01-11 12:00:00
4835,0,-4.794517530791683,1,1,57.931446666193786,Clouds,Overcast clouds,2025-01-11 13:00:00
3204,0,26.216940856437056,1,0,48.96244620502448,Clouds,Clear sky,2025-01-11 14:00:00
2835,1,18.919345850320454,0,0,64.47452485768186,Snow,Light rain,2025-01-11 15:00:00
4655,0,3.708033327990293,0,0,22.982672579761843,Snow,Snow,2025-01-11 16:00:00
1054,1,-6.02903155055067,0,1,55.266226777674824,Rain,Light rain,2025-01-11 17:00:00
4665,1,-5.717087520178473,1,0,37.21732552468971,Clear,Light rain,2025-01-11 18:00:00
3546,0,34.70954373320591,1,0,66.1667259629189,Rain,Overcast clouds,2025-01-11 19:00:00
1145,0,-0.406633764062855,0,0,14.122354337314945,Clouds,Light rain,2025-01-11 20:00:00
1793,1,6.168578105776039,0,1,57.08774168394763,Clear,Clear sky,2025-01-11 21:00:00
3536,1,1.3328201113494007,1,0,18.52703553833237,Clear,Overcast clouds,2025-01-11 22:00:00
662,1,7.749815291596864,0,1,27.86430631150364,Clear,Light rain,2025-01-11 23:00:00
2585,0,-6.528807862695332,0,1,21.87098003235832,Clear,Overcast clouds,2025-01-12 00:00:00
3454,1,15.95298954541352,1,1,18.28377798688171,Rain,Clear sky,2025-01-12 01:00:00
325,0,-6.619371820389254,0,1,82.5710951560667,Snow,Clear sky,2025-01-12 02:00:00
4993,1,30.01782539111808,1,1,28.570756766089033,Snow,Light rain,2025-01-12 03:00:00
1059,1,1.6856040955216507,0,1,92.71237818644494,Clouds,Overcast clouds,2025-01-12 04:00:00
4648,0,17.00059573022553,0,0,96.99265253451908,Snow,Light rain,2025-01-12 05:00:00
3167,1,34.00395437807291,1,0,57.126046993709735,Snow,Light rain,2025-01-12 06:00:00
915,0,22.54386845235971,1,0,14.30011226657264,Snow,Overcast clouds,2025-01-12 07:00:00
4854,0,16.647889327566766,0,1,37.45482433795813,Snow,Light rain,2025-01-12 08:00:00
4742,1,6.21668765576878,1,0,79.7732263348214,Clouds,Clear sky,2025-01-12 09:00:00
3220,0,6.650095652909897,0,1,36.739072869707044,Rain,Overcast clouds,2025-01-12 10:00:00
116,0,23.474347759909506,0,1,8.701721830278874,Clear,Overcast clouds,2025-01-12 11:00:00
1343,1,39.706968061058376,1,1,55.678491092818795,Snow,Overcast clouds,2025-01-12 12:00:00
2305,0,23.09195949246893,0,0,84.51208514960348,Rain,Overcast clouds,2025-01-12 13:00:00
2624,0,17.889170868501246,0,1,79.59263871435024,Snow,Light rain,2025-01-12 14:00:00
1169,0,26.532525511962305,1,1,17.512314013035322,Snow,Light rain,2025-01-12 15:00:00
3544,1,13.260280614185909,1,0,67.27646144124667,Clear,Clear sky,2025-01-12 16:00:00
2665,0,-6.99288286996074,0,0,22.05042634356471,Clear,Snow,2025-01-12 17:00:00
1160,1,18.11484079389549,1,1,21.820753455217222,Clear,Snow,2025-01-12 18:00:00
2427,1,37.88126422526901,1,1,87.40717733051852,Snow,Clear sky,2025-01-12 19:00:00
3520,0,-1.2348528821170177,1,0,24.966895274023017,Snow,Snow,2025-01-12 20:00:00
401,0,24.50024454103329,1,0,26.32473465180112,Snow,Clear sky,2025-01-12 21:00:00
4376,0,0.046684432952822874,0,0,0.06533907612995549,Clear,Light rain,2025-01-12 22:00:00
706,1,16.791384223654063,0,1,87.06690341255177,Clouds,Overcast clouds,2025-01-12 23:00:00
